feature,mean_abs_coefficient
Elevation,3.442239188511522
Hillshade_3pm,1.1263808322958844
Wilderness_Area1,0.9420051928869999
Wilderness_Area4,0.9330932878388815
Hillshade_9am,0.8944659500821398
Horizontal_Distance_To_Roadways,0.8303968706988112
Hillshade_Noon,0.7069551333479505
Horizontal_Distance_To_Fire_Points,0.5376182366079637
Soil_Type29,0.5254445806573578
Wilderness_Area3,0.46800585814020856
Soil_Type12,0.44749407141308667
Soil_Type22,0.43296100928633585
Soil_Type3,0.4195676087518945
Soil_Type10,0.4188903979162735
Wilderness_Area2,0.4027660472860392
Soil_Type6,0.4026050108465281
Soil_Type30,0.39791833806420807
Soil_Type1,0.38918627881059864
Soil_Type2,0.3730664029997657
Horizontal_Distance_To_Hydrology,0.35949764015205327
Soil_Type39,0.3559597779632742
Soil_Type4,0.3483010005469255
Soil_Type38,0.34582504058394115
Soil_Type11,0.31462057529224186
Soil_Type33,0.30603470558342544
Soil_Type32,0.28545195312846644
Soil_Type13,0.28111423008350295
Soil_Type31,0.2786659581473595
Soil_Type20,0.2753492351707979
Soil_Type5,0.268714676302667
Soil_Type40,0.2685203055155423
Soil_Type14,0.2086627252148035
Soil_Type26,0.19809624393492462
Soil_Type18,0.1955684783948876
Soil_Type23,0.19210260202474716
Slope,0.18348111702717926
Soil_Type24,0.18170058689512697
Vertical_Distance_To_Hydrology,0.17644854042776428
Soil_Type17,0.1733904173651557
Soil_Type37,0.1416428028684254
Soil_Type35,0.1336896428797245
Soil_Type9,0.12785764526403215
Soil_Type16,0.12715444097640205
Aspect,0.1204221138327558
Soil_Type28,0.11588576555771397
Soil_Type19,0.10212224097683284
Soil_Type21,0.09930759816529763
Soil_Type34,0.095952344642889
Soil_Type27,0.08179711750043739
Soil_Type25,0.07374604346118817
Soil_Type7,0.04648477693638458
Soil_Type8,0.03560324273342262
Soil_Type36,0.02221492435867777
Soil_Type15,0.014313631963140403
