feature,coefficient,abs_coefficient
radius_se,1.4116212514656823,1.4116212514656823
texture_worst,1.2362822057527283,1.2362822057527283
radius_worst,0.9594921989888322,0.9594921989888322
area_se,0.9260838550332289,0.9260838550332289
area_worst,0.9167706249896816,0.9167706249896816
perimeter_se,0.8861081750349957,0.8861081750349957
compactness_se,-0.8379962574082894,0.8379962574082894
perimeter_worst,0.8360523431566863,0.8360523431566863
concave points_mean,0.822472380315842,0.822472380315842
symmetry_worst,0.8051470298288127,0.8051470298288127
concave points_worst,0.7603909539126077,0.7603909539126077
fractal_dimension_se,-0.7387202041597022,0.7387202041597022
concave points_se,0.6045536975856776,0.6045536975856776
fractal_dimension_worst,0.5771693173571446,0.5771693173571446
compactness_mean,-0.5416638542161533,0.5416638542161533
concavity_worst,0.4898161402949095,0.4898161402949095
symmetry_se,-0.4684743737565879,0.4684743737565879
concavity_mean,0.46823969614325456,0.46823969614325456
texture_se,-0.46060869960899226,0.46060869960899226
texture_mean,0.45928662137599213,0.45928662137599213
smoothness_worst,0.4488194129828999,0.4488194129828999
symmetry_mean,-0.36517060147681557,0.36517060147681557
area_mean,0.3185821508208779,0.3185821508208779
perimeter_mean,0.22348087901682956,0.22348087901682956
radius_mean,0.22202177987808008,0.22202177987808008
smoothness_mean,0.2038276899280258,0.2038276899280258
smoothness_se,0.2030887311954927,0.2030887311954927
fractal_dimension_mean,-0.07890918458198706,0.07890918458198706
compactness_worst,0.07252669617787473,0.07252669617787473
concavity_se,-0.01647093409587879,0.01647093409587879
